NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
GROVELAND COUNCIL ON AGING,183 MAIN ST,GROVELAND,MA,01834,1377,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GREATER LAWRENCE FAMILY HEALTH CTR-AODA,208 BROADWAY,LAWRENCE,MA,01840,1038,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HABIT OPCO-SUBSTANCE ABUSE TREATMENT,599 CANAL ST,LAWRENCE,MA,01840,1244,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
FAMILY SERVICE INC-SUBSTANCE ABUSE PRGMS,430 N CANAL ST,LAWRENCE,MA,01840,1246,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GLFHC-NE CTR FOR HLTHY COMMUNITIES-AODA,101 AMESBURY ST,LAWRENCE,MA,01840,1323,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GREATER LAWRENCE YWCA CHILDRENS CENTER,38 LAWRENCE ST,LAWRENCE,MA,01840,1409,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MERRIMACK VALLEY YMCA CHILDCARE,40 LAWRENCE ST,LAWRENCE,MA,01840,1412,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
LAWRENCE SENIOR CENTER,155 HAVERHILL ST,LAWRENCE,MA,01840,1515,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HEALTH AND EDUCATION SERVICES-SBSTNC ABS,30 GENERAL ST,LAWRENCE,MA,01840,1809,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PSYCHOLOGICAL CENTER-SUBSTANCE ABUSE SVC,11 UNION ST,LAWRENCE,MA,01840,1815,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BERKELEY RETIREMENT AND NURSING CENTER,150 BERKELEY ST,LAWRENCE,MA,01841,1224,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,18,,,
ESSEX COUNTY SHERIFF DEPT CORR ALT CTR,165 MARSTON ST,LAWRENCE,MA,01841,1526,25009,ESSEX,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GERMAN HOME,374 HOWARD ST,LAWRENCE,MA,01841,2980,25009,ESSEX,1122,SENIOR LIVING,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,
M I ADULT DAY HEALTH CARE CENTER,189 MAPLE ST,LAWRENCE,MA,01841,3761,25009,ESSEX,1122,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,
MARY IMMACULATE RESTORATIVE CENTER,172 LAWRENCE ST,LAWRENCE,MA,01841,3849,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,222,,,
PSYCHOLOGICAL CENTER-WOMENS VIEW-AODA,582 HAVERHILL ST,LAWRENCE,MA,01841,4236,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PEGASUS HOUSE-PSYCHOLOGICAL CENTER-AODA,482 LOWELL ST,LAWRENCE,MA,01841,4598,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SUNBRIDGE CARE AND REHAB-WOOD MILL,800 ESSEX ST,LAWRENCE,MA,01841,4617,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,80,,,
LAWRENCE GENERAL HOSPITAL,PO BOX 189,LAWRENCE,MA,01842,0389,25009,ESSEX,,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,ARAMARK,UNCODED,>2000,149.2,VHA Inc,Amerinet Inc,"54,450"
LAWRENCE PUBLIC SCHOOL DISTRICT,PO BOX 1498,LAWRENCE,MA,01842,2798,25009,ESSEX,,SCHOOL DISTRICTS,UNCODED,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
LITTLE SPROUTS AT THE INDUSTRIAL PARK,20 BALLARD WAY,LAWRENCE,MA,01843,1044,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
LATCHKEY COMMUNITY DAYCARE CENTER,32 GROTON ST,LAWRENCE,MA,01843,2616,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SUNBRIDGE CRE AND REHAB-COLONIAL HEIGHTS,555 S UNION ST,LAWRENCE,MA,01843,2815,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,69,,,
MSPCC FAMILY COUNSELING CTR-AODA PRGMS,439 S UNION ST,LAWRENCE,MA,01843,2837,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
DAYBREAK SHELTER-SUBSTANCE ABUSE PROGRAM,75 N PARISH RD,LAWRENCE,MA,01843,2930,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MARSH GRAMMER SCHOOL,309 PELHAM ST,METHUEN,MA,01844,1476,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,,,,
LITTLE SPROUTS CHILD ENRICHMENT CENTER,13 BRANCH ST,METHUEN,MA,01844,1975,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
METHUEN COUNCIL ON AGING SENIOR CENTER,77 LOWELL ST,METHUEN,MA,01844,3613,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CHILDRENS CENTER,35 LOWELL ST,METHUEN,MA,01844,3638,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
NEVINS ADULT DAY CARE CENTER,12 INGALLS CT,METHUEN,MA,01844,3712,25009,ESSEX,1122,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,
METHUEN PUBLIC SCHOOL DISTRICT,10 DITSON PL,METHUEN,MA,01844,3802,25009,ESSEX,1122,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
DONALD P TIMONY GRAMMER SCHOOL,45 PLEASANT VIEW ST,METHUEN,MA,01844,3915,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,,,,
METHUEN HEALTH AND REHAB,480 JACKSON ST,METHUEN,MA,01844,4020,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87,,,
ST ANNS HOME,100A HAVERHILL ST,METHUEN,MA,01844,4251,25009,ESSEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ST BASILS SEMINARY,30 EAST ST,METHUEN,MA,01844,4400,25009,ESSEX,1122,TECHNICAL AND TRADE SCHOOLS,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,RELIGIOUS,101 TO 250,,,,
ST RAPHAELS TCU AT HOLY FAMILY HOSPITAL,70 EAST ST,METHUEN,MA,01844,4597,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,9,,,
SUNBRIDGE CARE AND REHAB-BROADWAY,281 BROADWAY,METHUEN,MA,01844,6804,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75,,,
NORTH ANDOVER SENIOR CENTER,120R MAIN ST,NORTH ANDOVER,MA,01845,2420,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PRESCOTT HOUSE NURSING HOME,140 PRESCOTT ST,NORTH ANDOVER,MA,01845,1826,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,123,,,
THE MEADOWS,575 OSGOOD ST,NORTH ANDOVER,MA,01845,1975,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,43,,,
MERRIMACK COLLEGE,315 TURNPIKE ST,NORTH ANDOVER,MA,01845,5806,25009,ESSEX,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,RELIGIOUS,>2000,,,,
SUTTON HILL NURSING CENTER,1801 TURNPIKE ST,NORTH ANDOVER,MA,01845,6322,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,132,,,
CAMP RUNELS-MACHAGAMEE,1740 TURNPIKE ST,NORTH ANDOVER,MA,01845,6323,25009,ESSEX,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
LOWELL HEALTHCARE CENTER,19 VARNUM ST,LOWELL,MA,01850,2132,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,157,PREMIER,,
TOWN COUNTRY NURSING CENTER,259 BALDWIN ST,LOWELL,MA,01851,2211,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,78,,,
WILLOW MANOR GENESIS HEALTHCARE,30 PRINCETON BLVD,LOWELL,MA,01851,2405,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,83,,,
BAILEY INTERNATIONAL ELEMENTARY SCHOOL,175 CAMPBELL DR,LOWELL,MA,01851,4530,25017,MIDDLESEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
LITTLE SPROUTS AT CROSS POINT,900 CHELMSFORD ST,LOWELL,MA,01851,8100,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SAINTS MEDICAL CENTER,1 HOSPITAL DR,LOWELL,MA,01852,1311,25017,MIDDLESEX,1122,HOSPITALS,751-999,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,76.8,PREMIER,UHC (University HealthSystem Consortium),"28,029"
CENTER FOR FAMILY DEVELOPMENT-AODA PRGMS,45 MERRIMACK ST,LOWELL,MA,01852,1714,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LOWELL PUBLIC SCHOOL DISTRICT,155 MERRIMACK ST,LOWELL,MA,01852,1723,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
SOUTH BAY EARLY INTERVENTION PRGM-AODA,77 E MERRIMACK ST,LOWELL,MA,01852,1900,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LCHC BHVRL HLTH OTPTNT SBSTNC ABUSE SVC,17 WARREN ST,LOWELL,MA,01852,2216,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LOWELL HOUSE-RESIDENTIAL SBSTNC ABUSE,102 APPLETON ST,LOWELL,MA,01852,2515,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LOWELL FAMILY SERVICES-SUBSTANCE ABUSE,99 CHURCH ST,LOWELL,MA,01852,2621,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
COMMUNITY TEAMWORK HEAD START-CC,126 PHOENIX AVE,LOWELL,MA,01852,4931,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
DYOUVILLE SENIOR CARE,981 VARNUM AVE,LOWELL,MA,01854,1913,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,204,,,
LOWELL TREATMENT CENTER,391 VARNUM AVE,LOWELL,MA,01854,2119,25017,MIDDLESEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
FAIRHAVEN HEALTHCARE CENTER,476 VARNUM AVE,LOWELL,MA,01854,2122,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,159,,,
TCU AT LOWELL GENERAL HOSPITAL,295 VARNUM AVE,LOWELL,MA,01854,2134,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25,,,
THE GRIP PROJECT RUNAWAY-HOMELESS,35 VARNUM AVE,LOWELL,MA,01854,2510,25017,MIDDLESEX,1122,RUNAWAY & HOMELESS CENTERS,UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
UNIVERSITY OF MASSACHUETTS-LOWELL,1 UNIVERSITY AVE,LOWELL,MA,01854,2827,25017,MIDDLESEX,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PUBLIC,>2000,,,,
CTI CHILDRENS CORNER DAY CARE CENTER,554 PAWTUCKET ST,LOWELL,MA,01854,3009,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
HABIT OPCO-SUBSTANCE ABUSE TREATMENT,650 SUFFOLK ST,LOWELL,MA,01854,3642,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ST PATRICKS SCHOOL AND EDUCATIONAL CTR,311 ADAMS ST,LOWELL,MA,01854,3701,25017,MIDDLESEX,1122,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,
LOWELL HOUSE-OTPTNT SUBSTANCE ABUSE SVCS,555 MERRIMACK ST,LOWELL,MA,01854,3906,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LOWELL COUNCIL OF AGING SENIOR CENTER,276 BROADWAY ST,LOWELL,MA,01854,4121,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
FREDRICK N SWEETSIR ELEMENTARY SCHOOL,104 CHURCH ST,MERRIMAC,MA,01860,1528,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
MERRIMAC SENIOR CENTER,100 E MAIN ST,MERRIMAC,MA,01860,1612,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEW ENGLAND PEDIATRIC CARE,78 BOSTON RD,NORTH BILLERICA,MA,01862,1034,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,74,,,
LIFE CARE CENTER-MERRIMACK VALLEY,80 BOSTON RD,NORTH BILLERICA,MA,01862,1034,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115,,,
KINDERCARE LEARNING CENTER,179 BOSTON RD,NORTH BILLERICA,MA,01862,2320,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
CHELMSFORD SENIOR CENTER,75 GROTON RD,NORTH CHELMSFORD,MA,01863,1760,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KNOWLEDGE BEGINNINGS RESEARCH PK,11 RESEARCH PL,NORTH CHELMSFORD,MA,01863,2412,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MULBERRY CHILDCARE PRESCHOOL,48 MAIN ST,NORTH READING,MA,01864,2272,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
EDITH A O LEARY SENIOR CENTER,157 PARK ST,NORTH READING,MA,01864,2303,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
READING CNCL ON AGING SR CTR,49 PLEASANT ST,READING,MA,01867,3020,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WINGATE AT READING,1364 MAIN ST,READING,MA,01867,1137,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,121,,,
READING PUBLIC SCHOOL DISTRICT,82 OAKLAND RD,READING,MA,01867,1613,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
BURBANK YMCA PRESCHOOL-AFTER SCHOOL PROG,36 ARTHUR B LORD DR,READING,MA,01867,1622,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
DANIELS HOUSE NURSING HOME,59 MIDDLESEX AVE,READING,MA,01867,2533,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,30,,,
MIDDLESEX DUIL PROGRAM-SBSTNC ABUSE PRGM,PO BOX 149,TEWKSBURY,MA,01876,0149,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KNOWLEDGE BEGINNINGS-TEWKSBURY,200 OLD MAIN ST,TEWKSBURY,MA,01876,1768,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
SENIOR CITIZEN CENTER-TEWKSBURY,175 CHANDLER ST,TEWKSBURY,MA,01876,1903,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
TEWKSBURY HOSPITAL,365 EAST ST,TEWKSBURY,MA,01876,1950,25017,MIDDLESEX,1122,HOSPITALS,751-999,NOT APPLICABLE,501 TO 1000,NOT APPLICABLE,UNCODED,UNCODED,>2000,315.0,UHC (University HealthSystem Consortium),HPPI (HealthCare Purchasing Partners International,"114,961"
BLAIRE HOUSE OF TEWKSBURY,10 ERLIN TER,TEWKSBURY,MA,01876,2666,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,111,,,
JOHN F RYAN ELEMENTARY SCHOOL,135 PLEASANT ST,TEWKSBURY,MA,01876,2725,25017,MIDDLESEX,1122,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
LITTLE ANGELS DAYCARE -ADVENTURE CLUB,262 MIDDLESEX RD,TYNGSBORO,MA,01879,1001,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
THE ACADEMY OF NOTRE DAME,180 MIDDLESEX RD,TYNGSBORO,MA,01879,1512,25017,MIDDLESEX,1122,SECONDARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
TYNGSBORO COUNCIL ON AGING SR COMM CTR,180 LAKEVIEW AVE,TYNGSBORO,MA,01879,1764,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GREATER LOWELL VOCATIONAL TECHNICAL DIST,250 PAWTUCKET BLVD,TYNGSBORO,MA,01879,2214,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,
ACTIVE DAY-ADULT DAY CARE SERVICES,607 NORTH AVE,WAKEFIELD,MA,01880,1306,25017,MIDDLESEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,101 TO 250,,PREMIER,,
KIRKWOOD HOUSE INC,202 MAIN ST,WAKEFIELD,MA,01880,1823,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,26,,,
WAKEFIELD COUNCIL ON AGING SENIOR CENTER,30 CONVERSE ST,WAKEFIELD,MA,01880,2717,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTHEAST METRO REGIONAL VOC SCH DIST,100 HEMLOCK RD,WAKEFIELD,MA,01880,3568,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,
